欄位編號,表格名稱,表格中文名稱,欄位名稱,欄位中文名稱,欄位定義說明,資料當責單位,欄位資料型態,欄位類型,Primary Key,KDE關鍵指標,必填/非必填,Business_Group,Technical_Data
1,M_AC_ACCOUNT,帳戶主檔,SNAP_DATE,資料日期,資料更新之日期,數據科學部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;資料日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SNAP_DATE
2,M_AC_ACCOUNT,帳戶主檔,SNAP_YYYYMM,資料年月(YYYYMM),資料更新之西元年月,數據科學部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;資料年月(YYYYMM),fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SNAP_YYYYMM
3,M_AC_ACCOUNT,帳戶主檔,ACCT_NBR,客戶帳號,客戶帳號；包含台股、複委託、期貨IB、財管信託、自營帳戶、壽險,數據科學部,Varchar,變動字串,PK,,,主數據庫;帳戶主檔;帳戶主檔;客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ACCT_NBR
5,M_AC_ACCOUNT,帳戶主檔,PROD_TYPE_CODE,帳戶類別,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,數據科學部,Varchar,變動字串,PK,V,,主數據庫;帳戶主檔;帳戶主檔;帳戶類別,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PROD_TYPE_CODE
6,M_AC_ACCOUNT,帳戶主檔,PROD_TYPE_DESC,帳戶類別說明,100 台股 / 200 複委託 / 300 期貨 / 400 財管信託 / 500 自營 / 600 壽險,數據科學部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;帳戶類別說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PROD_TYPE_DESC
7,M_AC_ACCOUNT,帳戶主檔,PARTY_ID,客戶證號,客戶之身份證號/統一編號,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;客戶證號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PARTY_ID
8,M_AC_ACCOUNT,帳戶主檔,PARTY_ID_MASK,客戶證號_遮罩,遮罩過後的客戶身份證號/統一編號,數據科學部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;客戶證號_遮罩,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;PARTY_ID_MASK
9,M_AC_ACCOUNT,帳戶主檔,SYS_NEW_ACCT_NBR,合併後新客戶帳號,合併後客戶帳號；包含台股、複委託、期貨IB、財管信託、自營帳戶、壽險,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;合併後新客戶帳號,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SYS_NEW_ACCT_NBR
11,M_AC_ACCOUNT,帳戶主檔,OPEN_CHANNEL_CODE,開戶通路代碼,客戶帳號開戶通路之代碼；001 臨櫃 / 002 線上,"經紀業務作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;開戶通路代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_CHANNEL_CODE
12,M_AC_ACCOUNT,帳戶主檔,OPEN_CHANNEL_DESC,開戶通路說明,001 臨櫃 / 002 線上,"經紀業務作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;開戶通路說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_CHANNEL_DESC
13,M_AC_ACCOUNT,帳戶主檔,ACCT_VALID_FLAG,帳戶有效戶註記,"帳戶是否有效；
Y 有效戶 / N 無效戶","經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;帳戶有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ACCT_VALID_FLAG
14,M_AC_ACCOUNT,帳戶主檔,OPEN_DATE,開戶日期,帳號之開戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;OPEN_DATE
15,M_AC_ACCOUNT,帳戶主檔,CLOSE_DATE,銷戶日期,帳號之銷戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;CLOSE_DATE
16,M_AC_ACCOUNT,帳戶主檔,CLOSE_REASON_CODE,銷戶原因代碼,帳號之銷戶原因代碼；001 / 002 解約 / 003 靜止 / 004 死亡 / 005 凍結 / 006 違約 / 007 分公司消滅 / 008 例外管理 / 009 無銷戶原因 / 010 靜止有效戶 / 011 凍結有效戶,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;銷戶原因代碼,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;CLOSE_REASON_CODE
17,M_AC_ACCOUNT,帳戶主檔,CLOSE_REASON_DESC,銷戶原因說明,001 / 002 解約 / 003 靜止 / 004 死亡 / 005 凍結 / 006 違約 / 007 分公司消滅 / 008 例外管理 / 009 無銷戶原因 / 010 靜止有效戶 / 011 凍結有效戶,"經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;銷戶原因說明,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;CLOSE_REASON_DESC
18,M_AC_ACCOUNT,帳戶主檔,LAST_TXN_DATE,最後交易往來日期,帳戶之最近交易往來日期,"財管商品部,經紀商品部",DATE,日期,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;最後交易往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;LAST_TXN_DATE
19,M_AC_ACCOUNT,帳戶主檔,E_ACCT_VALID_FLAG,電子戶有效戶註記,"電子交易帳戶是否有效；
Y 有效戶 / N 無效戶","經紀業務作服部,金融交易作服部,財富管理作服部",Varchar,變動字串,非PK,V,,主數據庫;帳戶主檔;帳戶主檔;電子戶有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_ACCT_VALID_FLAG
20,M_AC_ACCOUNT,帳戶主檔,E_START_DATE,電子戶開戶日期,電子戶開戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;電子戶開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_START_DATE
21,M_AC_ACCOUNT,帳戶主檔,E_CLOSE_DATE,電子戶銷戶日期,電子戶銷戶日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;電子戶銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_CLOSE_DATE
22,M_AC_ACCOUNT,帳戶主檔,E_LAST_TXN_DATE,電子戶最後往來日期,電子戶之最近交易往來日期,"經紀業務作服部,金融交易作服部,財富管理作服部",DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;電子戶最後往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_LAST_TXN_DATE
23,M_AC_ACCOUNT,帳戶主檔,C_ACCT_VALID_FLAG,信用帳戶有效戶註記,"信用交易帳號是否有效；
Y 有效戶 / N 無效戶",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用帳戶有效戶註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_ACCT_VALID_FLAG
24,M_AC_ACCOUNT,帳戶主檔,C_START_DATE,信用戶開戶日期,信用戶開戶日期,經紀業務作服部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用戶開戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_START_DATE
25,M_AC_ACCOUNT,帳戶主檔,C_CLOSE_DATE,信用戶銷戶日期,信用戶銷戶日期,經紀業務作服部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用戶銷戶日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_CLOSE_DATE
26,M_AC_ACCOUNT,帳戶主檔,C_LAST_TXN_DATE,信用戶最後往來日期,信用戶之最近交易往來日期,經紀商品部,DATE,日期,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用戶最後往來日期,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_LAST_TXN_DATE
27,M_AC_ACCOUNT,帳戶主檔,T_DAILY_LIMIT_AMT,台股現貨買賣額度,台股現貨交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;台股現貨買賣額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_DAILY_LIMIT_AMT
28,M_AC_ACCOUNT,帳戶主檔,E_DAILY_LIMIT_AMT,台股現貨電子額度,台股現貨電子交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;台股現貨電子額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;E_DAILY_LIMIT_AMT
29,M_AC_ACCOUNT,帳戶主檔,C_DAILY_LIMIT_AMT,信用額度,台股現貨信用交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;信用額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;C_DAILY_LIMIT_AMT
30,M_AC_ACCOUNT,帳戶主檔,ML_DAILY_LIMIT_AMT,融資額度,台股現貨融資交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;融資額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;ML_DAILY_LIMIT_AMT
31,M_AC_ACCOUNT,帳戶主檔,SL_DAILY_LIMIT_AMT,融券額度,台股現貨融券交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;融券額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;SL_DAILY_LIMIT_AMT
32,M_AC_ACCOUNT,帳戶主檔,R_DAILY_LIMIT_AMT,興櫃額度,台股現貨興櫃交易之單日買賣額度,經紀業務作服部,Num,數字,非PK,,,主數據庫;帳戶主檔;帳戶主檔;興櫃額度,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;R_DAILY_LIMIT_AMT
33,M_AC_ACCOUNT,帳戶主檔,T_DT_SIGN_FLAG,現股當沖簽署註記,"現股當沖簽署狀態；先買、先賣任一簽署皆算有簽署
Y / N",經紀業務作服部,Varchar,變動字串,非PK,,,主數據庫;帳戶主檔;帳戶主檔;現股當沖簽署註記,fbsods;mdm_sec;MDM_SEC;M_AC_ACCOUNT;T_DT_SIGN_FLAG
